school,school_id,conference,song_name,bpm,sec_duration,fight,victory,win_won,opponents,rah,nonsense,colors,men,official_song,primary_bucket,secondary_bucket,score_aggression,score_unity,score_tradition,score_pageantry,score_institutional,score_competitive_glory,lex_aggression_freq,lex_unity_freq,lex_tradition_freq,lex_pageantry_freq,lex_institutional_freq,lex_competitive_glory_freq
Penn State,penn_state,Big Ten,"Fight On, State",145,81,1,1,1,0,0,0,1,0,1,Aggression/Conflict,,5.104618220527731,0.7807017543859649,2.1151970635450046,0.09772966414148346,1.9210526315789473,0.4298245614035088,0.12280701754385964,0.03508771929824561,0.017543859649122806,0.0,0.05263157894736842,0.05263157894736842
Purdue,purdue,Big Ten,Hail Purdue,160,86,0,1,0,0,0,0,1,0,1,Tradition/Legacy,Institutional Pride,1.2352751173776455,1.3465608465608465,2.389874799882409,0.7808126864947089,2.007936507936508,1.0,0.0,0.10582010582010581,0.0582010582010582,0.07407407407407407,0.06349206349206349,0.0
Rutgers,rutgers,Big Ten,The Bells Must Ring,75,74,1,1,1,0,1,1,1,1,1,Aggression/Conflict,,4.468250819738429,1.634453781512605,2.3412600498127336,2.847709899488222,2.1722689075630255,0.13025210084033634,0.1092436974789916,0.01680672268907563,0.0,0.08403361344537816,0.08403361344537816,0.008403361344537815
Wisconsin,wisconsin,Big Ten,"On, Wisconsin",132,134,1,0,1,0,0,0,0,1,1,Aggression/Conflict,,4.460028217166938,1.0,2.4763233489129743,0.019304625015601616,1.3205128205128205,-1.0128205128205128,0.1794871794871795,0.0,0.0,0.0,0.10256410256410256,0.02564102564102564
Oregon,oregon,Big Ten,Mighty Oregon,65,80,1,1,1,1,0,0,0,1,1,Aggression/Conflict,,5.449000075321022,1.0161290322580645,2.79356571771093,-0.2128429504958705,0.9381720430107527,0.8010752688172043,0.053763440860215055,0.06451612903225806,0.043010752688172046,0.021505376344086023,0.08602150537634409,0.06451612903225806
UCLA,ucla,Big Ten,Sons of Westwood,72,69,1,0,0,1,0,0,1,1,1,Aggression/Conflict,,3.3754761008207677,1.6075949367088609,2.4207133808671166,1.3788618933148422,1.5537974683544304,-1.6518987341772151,0.0379746835443038,0.0759493670886076,0.012658227848101266,0.21518987341772153,0.0379746835443038,0.0
USC,usc,Big Ten,"Fight On, USC",75,60,1,1,1,0,0,0,0,1,1,Aggression/Conflict,,5.094301239906496,1.5,2.729510432301583,-0.3245590080748034,0.5,0.5,0.1875,0.0625,0.0625,0.0,0.0,0.09375
Washington,washington,Big Ten,Bow Down to Washington,139,89,1,1,0,0,1,0,1,0,1,Aggression/Conflict,,3.2210610094406817,1.0045045045045045,2.1469713546204336,1.7777497084534466,2.0765765765765765,-0.5000000000000001,0.018018018018018018,0.06306306306306306,0.009009009009009009,0.02702702702702703,0.07207207207207207,0.009009009009009009
Notre Dame,notre_dame,Independent,Victory March,152,64,1,1,1,0,1,0,1,1,1,Aggression/Conflict,,4.401363258543513,1.9528301886792452,1.9478647512361253,2.168260418155565,2.330188679245283,0.6132075471698113,0.02830188679245283,0.05660377358490566,0.018867924528301886,0.0660377358490566,0.10377358490566038,0.02830188679245283
Arizona,arizona,Pac-12,"Bear Down, Arizona",144,83,0,0,0,0,0,0,1,0,0,Institutional Pride,,0.908009640782201,0.5,-0.0031568872575808427,0.09169696882410794,2.0578512396694215,-0.39669421487603307,0.09917355371900827,0.0,0.0,0.0,0.1322314049586777,0.0
Arizona State,arizona_state,Pac-12,Maroon and Gold,150,106,1,1,0,0,0,0,1,0,1,Aggression/Conflict,,3.775251041295067,0.6538461538461539,2.2980817520240673,0.7432777561129765,1.6538461538461537,-0.653846153846154,0.07692307692307693,0.019230769230769232,0.019230769230769232,0.07692307692307693,0.019230769230769232,0.019230769230769232
California,california,Pac-12,Fight for California,134,88,1,1,1,0,0,0,1,1,1,Aggression/Conflict,,4.42475468823764,2.174698795180723,2.0970806435987286,0.03137001565035267,2.0783132530120483,0.5000000000000002,0.04819277108433735,0.08433734939759036,0.0,0.0,0.07228915662650602,0.024096385542168676
Colorado,colorado,Pac-12,Fight CU,151,27,1,1,1,0,0,0,0,0,1,Aggression/Conflict,,6.681693009342885,0.22857142857142856,1.5076157754761879,0.13392583604573663,0.5,-0.2999999999999998,0.3142857142857143,0.02857142857142857,0.0,0.0,0.0,0.05714285714285714
